metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,0.02097354924569921,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.027675908063970564,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.038535721203383264,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,0.029673295349060397,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,0.041503493854766454,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,0.09342487896998491,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.017440818326512952,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.01671002797164185,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,1.0,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,1.0,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.9994380218368657,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.9825464499364308,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,1.0,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,1.0,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.023075450911557476,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,0.03012930267111671,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,0.04268920872980164,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,0.032634295576581616,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,0.045397217871590005,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,0.10890159697587029,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.01997530290514611,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.01924468977336377,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.021497547446710043,1,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.02834488780109435,1,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.03795956937301882,1,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,0.031301546955085205,1,INH_CLB_keypoints_1_60_wresiduals_stride0.5
