metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,0.7813286687187723,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,1.0300516076464366,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,1.4856685645588525,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,1.099555034457422,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,1.523587925226174,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,3.726034696099432,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.6374750490549098,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.6266928476486386,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.44801521500107944,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.25384555892602734,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.14661567875990972,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.2578836624569325,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.09454047601641147,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.18034859305955292,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.596099648321255,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.607201157793004,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.8645150946993375,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,1.118244137506127,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,1.6538950392674787,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,1.2093957611222663,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,1.6657860007134884,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,4.348584854668632,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.7295872293262637,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.7171447285560866,0,INH_CLB_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.790811160954745,1,INH_CLB_keypoints_1_60_wresiduals_stride0.5
