metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,0.035721260742165376,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-True,0.04233319930181692,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.04815442802299589,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,0.050639107271634926,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,TCN,type-TCN_mu_sigma-False,0.061329067300876526,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,linear_interp,linear_interp,0.07558735860690957,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-False,0.025745241049536606,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-True,0.02941805397106762,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-False,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-True,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,TCN,type-TCN_mu_sigma-False,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,linear_interp,linear_interp,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-False,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-True,1.0,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-False,0.04130814452012017,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-True,0.04793222894896999,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,0.05533914143613651,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,0.057023110623306034,0,DANNCE_seq_keypoints_60_stride30_fill10
