metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,3.064285368935515,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-True,3.6287140517889234,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,4.347546249031235,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,4.438887176975964,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,TCN,type-TCN_mu_sigma-False,5.360653933168173,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,linear_interp,linear_interp,7.999282502660343,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-False,2.2496238428876536,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-True,2.5251390783275487,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.6367966934409257,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.522646410527967,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.46157757432044655,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.3683726062207812,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.30426510180320976,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,linear_interp,linear_interp,0.5320456482931327,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.7616136696726946,0,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.7257231940733277,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-False,3.566871481337967,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-True,4.125616973456697,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,5.0093974014560345,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,5.006727040399287,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,TCN,type-TCN_mu_sigma-False,6.125250513871565,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,linear_interp,linear_interp,9.406811587060385,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-False,2.7879373749203595,0,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-True,3.0226361645811335,0,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-False,3.1114757340227337,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-True,3.7482835222612065,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,4.4816817268018045,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,4.509027460136339,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,TCN,type-TCN_mu_sigma-False,5.47982341090055,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,linear_interp,linear_interp,8.275502778039776,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-False,2.294363072455014,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-True,2.563867169816465,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.6253838032776502,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.5179969195047855,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.4463228058091404,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.3669800587690646,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.2982462276481762,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,linear_interp,linear_interp,0.5296008689580499,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.7603847806858473,1,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.7260880708322048,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-False,3.615031885963959,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-True,4.253161106300766,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,5.160157366074566,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,5.088208787618839,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,TCN,type-TCN_mu_sigma-False,6.237610975190133,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,linear_interp,linear_interp,9.7000252732084,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-False,2.8384624542954406,1,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-True,3.0570820649057824,1,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-False,3.069966295263316,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-True,3.6458799415339183,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,4.3243801567742235,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,4.421644788364553,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,TCN,type-TCN_mu_sigma-False,5.350106357682576,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,linear_interp,linear_interp,8.238399747815805,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-False,2.260316620048116,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-True,2.566588040436484,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.6332480056589711,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.5263365989690146,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.46883715467545695,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.3685778464443879,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.29965630699418205,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,linear_interp,linear_interp,0.5225761912010625,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.7639245682103303,2,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.7260188356897104,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-False,3.5809667058134456,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-True,4.1483390539331335,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,4.96552399889866,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,4.986234703956738,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,TCN,type-TCN_mu_sigma-False,6.115499676211229,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,linear_interp,linear_interp,9.669611899512574,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-False,2.8274372331842854,2,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-True,3.0789001981080544,2,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-False,3.0089256635378563,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-True,3.5968357291006554,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,4.29213243151621,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,4.466222326868328,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,TCN,type-TCN_mu_sigma-False,5.3370308178103025,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,linear_interp,linear_interp,7.812372063923352,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-False,2.237097701147216,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-True,2.497888641093677,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.6342055978468789,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.5211879473769538,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.46464795787732366,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.3558813953336733,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.29049151148243585,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,linear_interp,linear_interp,0.5254824311644827,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.764388662708947,3,DANNCE_seq_keypoints_60_stride30_fill10
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.7329176395650594,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-False,3.499088934408333,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,GRU,type-GRU_mu_sigma-True,4.088549421329666,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,4.9166137393573255,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,5.031777604469932,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,TCN,type-TCN_mu_sigma-False,6.062293326926589,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,linear_interp,linear_interp,9.17385700070503,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-False,2.75574382210573,3,DANNCE_seq_keypoints_60_stride30_fill10
RMSE,transformer,type-transformer_mu_sigma-True,2.9870382668801243,3,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-False,3.0945171298856087,4,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,GRU,type-GRU_mu_sigma-True,3.6647660801909816,4,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,4.43783924307652,4,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,4.5604856262762485,4,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,TCN,type-TCN_mu_sigma-False,5.475768512886769,4,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,linear_interp,linear_interp,8.171311714806652,4,DANNCE_seq_keypoints_60_stride30_fill10
MPJPE,transformer,type-transformer_mu_sigma-False,2.253629993345786,4,DANNCE_seq_keypoints_60_stride30_fill10
