method_param,PCK@0.01,RMSE,MPJPE,repeat,dataset
linear_interp,1.0,0.13276048556475187,0.10998916103094014,0,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,0.9999669312169311,0.07930952037302075,0.07231372328620302,0,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,1.0,0.09085206615194476,0.08405230741586109,0,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,1.0,0.08482347390895997,0.07688950691301992,0,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,1.0,0.08346997478269112,0.07662876992066371,0,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,1.0,0.11031540533246298,0.09567946933196875,0,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,1.0,0.06992833440067592,0.06244098845921394,0,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,1.0,0.0699784081951604,0.062384979803549435,0,DF3D_keypoints_60_stride5
linear_interp,1.0,0.1340550433179424,0.11059599016705021,1,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,1.0,0.08458117758080774,0.07586960745745137,1,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,1.0,0.09547433275722185,0.0865390022020042,1,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,1.0,0.09010312657220487,0.08075530297500065,1,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,1.0,0.08859616940239158,0.0802100245600907,1,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,1.0,0.11486797455548758,0.09780569145769569,1,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,0.9999661796536797,0.07781632584789312,0.06884468200028944,1,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,1.0,0.07712651300583193,0.06816566682808912,1,DF3D_keypoints_60_stride5
linear_interp,0.9995623249299721,0.1345365995614299,0.11001309679632355,2,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,1.0,0.08158927255996107,0.0739326395116375,2,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,1.0,0.09272593360527452,0.08500336255698546,2,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,1.0,0.08700746385493592,0.07846661308282715,2,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,0.9999124649859945,0.08702223409692025,0.07947717442924356,2,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,0.9997373949579833,0.1099919801711626,0.09437298222679903,2,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,0.9996073429371748,0.07470233469903757,0.06644226705736837,2,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,1.0,0.07310055285711493,0.0646885506078681,2,DF3D_keypoints_60_stride5
linear_interp,0.9999702380952381,0.13474414311627175,0.1110488643483877,3,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,0.9999702380952381,0.08189707977263477,0.0741983937191271,3,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,1.0,0.09181800211931876,0.0842574471491545,3,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,1.0,0.08659119846701265,0.07806371735121129,3,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,0.9999702380952381,0.08594129565751903,0.0783933517751267,3,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,0.9999702380952381,0.11363861327701039,0.09800746111197087,3,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,1.0,0.07313308786821329,0.06501078323405426,3,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,1.0,0.07086696489866236,0.0629086649396474,3,DF3D_keypoints_60_stride5
linear_interp,1.0,0.12982180855833658,0.10705244534263784,4,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,1.0,0.08308484854113504,0.07571841970019956,4,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,1.0,0.09343233720927609,0.08629688645089262,4,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,1.0,0.08746403702314001,0.07944640146356159,4,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,1.0,0.08970604213558885,0.08231414066400575,4,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,1.0,0.11439906921906791,0.09934047255370393,4,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,1.0,0.0754115693371356,0.06753225834181674,4,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,1.0,0.07302268890074222,0.06492034664668853,4,DF3D_keypoints_60_stride5
