method_param,PCK@0.01,RMSE,MPJPE,repeat,dataset
linear_interp,0.9876174293123621,0.43862981625155745,0.35863201015491314,0,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,0.9959986255689757,0.25757576683338756,0.23167120098123054,0,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,0.9960798063613633,0.2909650576919979,0.26546938774952666,0,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,0.9964209762068434,0.27472980614124787,0.24640598275224526,0,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,0.9957225845601759,0.2722246860868553,0.24683531198859074,0,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,0.9951752217032356,0.35226790109283673,0.30054523932516325,0,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,0.9957548349965212,0.23179958376660506,0.2058938783578274,0,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,0.9956682656750382,0.2270342409734282,0.20037865184210077,0,DF3D_keypoints_60_stride5
linear_interp,0.9877594388546046,0.4390040113807894,0.36250168006412353,1,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,0.9961559246100107,0.24956485993019875,0.22640714514224,1,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,0.9965144204818299,0.28018102743678697,0.25811118681204887,1,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,0.9963396566816944,0.2676283083422695,0.2408326993397394,1,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,0.9956781054445974,0.2606505550972657,0.2371616266609991,1,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,0.9945689857655362,0.3434305832331179,0.2942832492990977,1,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,0.9958666136351895,0.22510470528808876,0.2006320835572358,1,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,0.9963431256131372,0.2153575775994725,0.19064772476990718,1,DF3D_keypoints_60_stride5
linear_interp,0.9887973895997458,0.4151388894034926,0.33967720753557673,2,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,0.9966304368261641,0.24115915486403705,0.21851869444471583,2,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,0.9972859325370294,0.27726213439605746,0.2544846037022114,2,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,0.997109415912381,0.26093953949006266,0.23559113271632545,2,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,0.9974905526158585,0.25966719258588117,0.2376829495359528,2,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,0.9962190830564127,0.32726082180356886,0.2797060081989683,2,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,0.9967651355369601,0.21810665198865792,0.19500384166103168,2,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,0.9969480408733743,0.2139062543376665,0.19027160161702422,2,DF3D_keypoints_60_stride5
linear_interp,0.9925502022102977,0.4128404968274238,0.3378430126790469,3,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,0.9967415571750532,0.24860499340468378,0.22517224047784865,3,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,0.9973348085210658,0.27824844525089537,0.2555322619478142,3,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,0.9972746384609789,0.2659399465364715,0.23966001055518055,3,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,0.9971815679444381,0.2556958530823912,0.2333019140200548,3,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,0.996096693562711,0.3385876867259152,0.2907120696738766,3,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,0.9969345367498263,0.2230343484007878,0.19950294739801475,3,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,0.9969205050825688,0.21530594869505398,0.19060377082338104,3,DF3D_keypoints_60_stride5
linear_interp,0.9929749064411253,0.41213742170683726,0.3402591169853596,4,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-False,0.9956925098360749,0.2463788112683215,0.22304212618632063,4,DF3D_keypoints_60_stride5
type-GRU_mu_sigma-True,0.9959322740315845,0.2769247286889984,0.2548638543025656,4,DF3D_keypoints_60_stride5
type-STS_GCN_mu_sigma-False,0.9959775974963285,0.2629589166260321,0.23581153909920255,4,DF3D_keypoints_60_stride5
type-ST_GCN_mu_sigma-False,0.9965315563370002,0.2579120702302214,0.23527105907924267,4,DF3D_keypoints_60_stride5
type-TCN_mu_sigma-False,0.9950401439552585,0.3389107166555253,0.28956445439764855,4,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-False,0.9957997156557967,0.2239006501846815,0.1984072060179934,4,DF3D_keypoints_60_stride5
type-transformer_mu_sigma-True,0.9959640427502708,0.219458589976356,0.19472653077535193,4,DF3D_keypoints_60_stride5
