metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,0.029095451408541605,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.03520065619029916,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.048483636653030994,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,0.06547907604037836,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,0.0734609694862708,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,0.044696839802932584,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.02307204102880981,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.022230652759013838,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,1.0,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,1.0,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.9999165066377222,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,1.0,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.9978022755910446,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,1.0,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,1.0,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.031572029984678826,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,0.037356904669371846,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,0.05208427488309764,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,0.06959095665051442,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,0.0771607185755786,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,0.05204521190097435,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.025746788719142794,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.02473342752655529,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.02971659243150194,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.03545317738307677,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.04875613540592633,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
