metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,0.6727189424289136,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.8113742059863489,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,1.2147503146064769,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,1.4426368551463664,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,1.6589354026527587,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,1.1989089943670326,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.5706913018334127,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.5255971297425209,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.5315648231485804,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.39656437938033845,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.26010494509784077,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.12168572280847437,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.06207914457940467,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.5592831369674615,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.6741919147884599,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.6967571506992858,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.7343792525777225,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,0.8703707242847798,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,1.3142144867448724,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,1.537592737636701,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,1.7526288225189484,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,1.3927396108688495,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.6415551057188922,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.5867238273489765,0,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.7355308812937628,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.8554346535425947,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,1.2194882433065126,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,1.494510756753881,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,1.7394020272839346,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,1.3270070870702093,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.5871714735893881,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.5716623863994434,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.5120234932960565,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.39196760543759407,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.262997612788809,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.0946346569891345,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.07730503474969452,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.533351390501011,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.6523662757017851,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.6649140233573134,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.7982024841944622,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,0.9168524746207812,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,1.313854620054809,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,1.5903143192805198,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,1.839904841545059,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,1.5358768503188949,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.6514945782909027,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.636654547587608,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.7168181036112573,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.8606562533543106,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,1.2371225682319413,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,1.472915288243282,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,1.7472629492075291,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,1.2015134524448785,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.5770835294527216,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.5686993041965288,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.5436783841759922,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.3643855021722374,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.27430773485867477,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.09798927950083701,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.055882957642692604,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.5377453984717921,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.6712689633362954,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.6852303336223593,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
