index,id_sample,id_hole,keypoint,method,method_param,metric_value,metric_type,length_hole
0,0,0,left_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.050985630466311424,RMSE,4.0
1,0,0,left_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.0484122799978991,MPJPE,4.0
2,0,0,left_back,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,4.0
3,0,0,left_back,TCN,type-TCN_mu_sigma-False,0.04911406094820361,RMSE,4.0
4,0,0,left_back,TCN,type-TCN_mu_sigma-False,0.04823490861189128,MPJPE,4.0
5,0,0,left_back,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,4.0
6,0,0,left_back,GRU,type-GRU_mu_sigma-False,0.005617610403787509,RMSE,4.0
7,0,0,left_back,GRU,type-GRU_mu_sigma-False,0.005561252616886705,MPJPE,4.0
8,0,0,left_back,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,4.0
9,0,0,left_back,GRU,type-GRU_mu_sigma-True,0.020063997575070353,RMSE,4.0
10,0,0,left_back,GRU,type-GRU_mu_sigma-True,0.019647515299249727,MPJPE,4.0
11,0,0,left_back,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,4.0
12,0,0,left_back,GRU,type-GRU_mu_sigma-True,0.046391486898870335,mean_uncertainty,4.0
13,0,0,left_back,GRU,type-GRU_mu_sigma-True,0.0495719905149256,max_uncertainty,4.0
14,0,0,left_back,GRU,type-GRU_mu_sigma-True,1.0,bandexcess_2sigma,4.0
15,0,0,left_back,GRU,type-GRU_mu_sigma-True,1.0,coverage_2sigma,4.0
16,0,0,left_back,transformer,type-transformer_mu_sigma-False,0.012448036549736504,RMSE,4.0
17,0,0,left_back,transformer,type-transformer_mu_sigma-False,0.011816049639078053,MPJPE,4.0
18,0,0,left_back,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,4.0
19,0,0,left_back,transformer,type-transformer_mu_sigma-True,0.009992425154428382,RMSE,4.0
20,0,0,left_back,transformer,type-transformer_mu_sigma-True,0.009667732576578705,MPJPE,4.0
21,0,0,left_back,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,4.0
22,0,0,left_back,transformer,type-transformer_mu_sigma-True,0.021472930908203125,mean_uncertainty,4.0
23,0,0,left_back,transformer,type-transformer_mu_sigma-True,0.022136688232421875,max_uncertainty,4.0
24,0,0,left_back,transformer,type-transformer_mu_sigma-True,1.0,bandexcess_2sigma,4.0
25,0,0,left_back,transformer,type-transformer_mu_sigma-True,1.0,coverage_2sigma,4.0
26,0,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.03206593352109005,RMSE,4.0
27,0,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.03160139125145475,MPJPE,4.0
28,0,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,4.0
29,0,0,left_back,linear_interp,linear_interp,0.014823249842237119,RMSE,4.0
30,0,0,left_back,linear_interp,linear_interp,0.01363170870351021,MPJPE,4.0
31,0,0,left_back,linear_interp,linear_interp,1.0,PCK@0.01,4.0
32,0,1,right_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.035980347020289086,RMSE,3.0
33,0,1,right_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.03491413674305146,MPJPE,3.0
34,0,1,right_back,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,3.0
35,0,1,right_back,TCN,type-TCN_mu_sigma-False,0.04718054497390536,RMSE,3.0
36,0,1,right_back,TCN,type-TCN_mu_sigma-False,0.04684800333272001,MPJPE,3.0
37,0,1,right_back,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,3.0
38,0,1,right_back,GRU,type-GRU_mu_sigma-False,0.029949049686035626,RMSE,3.0
39,0,1,right_back,GRU,type-GRU_mu_sigma-False,0.02500805485734643,MPJPE,3.0
40,0,1,right_back,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,3.0
41,0,1,right_back,GRU,type-GRU_mu_sigma-True,0.02143099805300879,RMSE,3.0
42,0,1,right_back,GRU,type-GRU_mu_sigma-True,0.02085471274034031,MPJPE,3.0
43,0,1,right_back,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,3.0
44,0,1,right_back,GRU,type-GRU_mu_sigma-True,0.054088592257293865,mean_uncertainty,3.0
45,0,1,right_back,GRU,type-GRU_mu_sigma-True,0.05916786165971929,max_uncertainty,3.0
46,0,1,right_back,GRU,type-GRU_mu_sigma-True,1.0,bandexcess_2sigma,3.0
47,0,1,right_back,GRU,type-GRU_mu_sigma-True,1.0,coverage_2sigma,3.0
48,0,1,right_back,transformer,type-transformer_mu_sigma-False,0.006729090384881547,RMSE,3.0
49,0,1,right_back,transformer,type-transformer_mu_sigma-False,0.006473325431816892,MPJPE,3.0
50,0,1,right_back,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,3.0
51,0,1,right_back,transformer,type-transformer_mu_sigma-True,0.008678492685194073,RMSE,3.0
52,0,1,right_back,transformer,type-transformer_mu_sigma-True,0.008529110308180534,MPJPE,3.0
53,0,1,right_back,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,3.0
54,0,1,right_back,transformer,type-transformer_mu_sigma-True,0.023024241129557293,mean_uncertainty,3.0
55,0,1,right_back,transformer,type-transformer_mu_sigma-True,0.0247955322265625,max_uncertainty,3.0
56,0,1,right_back,transformer,type-transformer_mu_sigma-True,1.0,bandexcess_2sigma,3.0
57,0,1,right_back,transformer,type-transformer_mu_sigma-True,1.0,coverage_2sigma,3.0
58,0,1,right_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.031631552108743285,RMSE,3.0
59,0,1,right_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.030390683112573813,MPJPE,3.0
60,0,1,right_back,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,3.0
61,0,1,right_back,linear_interp,linear_interp,0.01146109018823431,RMSE,3.0
62,0,1,right_back,linear_interp,linear_interp,0.011158521173699129,MPJPE,3.0
63,0,1,right_back,linear_interp,linear_interp,1.0,PCK@0.01,3.0
64,0,-1,all,linear_interp,linear_interp,1.0,PCK@0.01,7.0
65,0,-1,all,linear_interp,linear_interp,0.012571771190734033,MPJPE,7.0
66,0,-1,all,linear_interp,linear_interp,0.013485360890610516,RMSE,7.0
67,0,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,7.0
68,0,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.04262736146010725,MPJPE,7.0
69,0,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.04516935461016262,RMSE,7.0
70,0,-1,all,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,7.0
71,0,-1,all,TCN,type-TCN_mu_sigma-False,0.04764052063510359,MPJPE,7.0
72,0,-1,all,TCN,type-TCN_mu_sigma-False,0.04829489089127271,RMSE,7.0
73,0,-1,all,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,7.0
74,0,-1,all,GRU,type-GRU_mu_sigma-False,0.013895596434226585,MPJPE,7.0
75,0,-1,all,GRU,type-GRU_mu_sigma-False,0.020060860677608237,RMSE,7.0
76,0,-1,all,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,7.0
77,0,-1,all,GRU,type-GRU_mu_sigma-True,0.020164885631145688,MPJPE,7.0
78,0,-1,all,GRU,type-GRU_mu_sigma-True,0.02066093286309736,RMSE,7.0
79,0,-1,all,GRU,type-GRU_mu_sigma-True,0.0496902463381947,mean_uncertainty,3.0
80,0,-1,all,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,7.0
81,0,-1,all,transformer,type-transformer_mu_sigma-False,0.009526310693108985,MPJPE,7.0
82,0,-1,all,transformer,type-transformer_mu_sigma-False,0.0103899431319633,RMSE,7.0
83,0,-1,all,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,7.0
84,0,-1,all,transformer,type-transformer_mu_sigma-True,0.009179751604408062,MPJPE,7.0
85,0,-1,all,transformer,type-transformer_mu_sigma-True,0.00945170391084753,RMSE,7.0
86,0,-1,all,transformer,type-transformer_mu_sigma-True,0.02213777814592634,mean_uncertainty,3.0
87,0,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,7.0
88,0,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.031082516334791494,MPJPE,7.0
89,0,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.03188049479079263,RMSE,7.0
90,1,0,right_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.07890860405574011,RMSE,6.0
91,1,0,right_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.07843375300661017,MPJPE,6.0
92,1,0,right_back,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,6.0
93,1,0,right_back,TCN,type-TCN_mu_sigma-False,0.09607714195277386,RMSE,6.0
94,1,0,right_back,TCN,type-TCN_mu_sigma-False,0.0946872682914019,MPJPE,6.0
95,1,0,right_back,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,6.0
96,1,0,right_back,GRU,type-GRU_mu_sigma-False,0.03868423561357094,RMSE,6.0
97,1,0,right_back,GRU,type-GRU_mu_sigma-False,0.038401217692322645,MPJPE,6.0
98,1,0,right_back,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,6.0
99,1,0,right_back,GRU,type-GRU_mu_sigma-True,0.028886037225260897,RMSE,6.0
100,1,0,right_back,GRU,type-GRU_mu_sigma-True,0.028567440613872272,MPJPE,6.0
101,1,0,right_back,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,6.0
102,1,0,right_back,GRU,type-GRU_mu_sigma-True,0.05068206763408584,mean_uncertainty,6.0
103,1,0,right_back,GRU,type-GRU_mu_sigma-True,0.05552482575272545,max_uncertainty,6.0
104,1,0,right_back,GRU,type-GRU_mu_sigma-True,1.0,bandexcess_2sigma,6.0
105,1,0,right_back,GRU,type-GRU_mu_sigma-True,0.9761904761904762,coverage_2sigma,6.0
106,1,0,right_back,transformer,type-transformer_mu_sigma-False,0.03876679831320286,RMSE,6.0
107,1,0,right_back,transformer,type-transformer_mu_sigma-False,0.03826757013583471,MPJPE,6.0
108,1,0,right_back,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,6.0
109,1,0,right_back,transformer,type-transformer_mu_sigma-True,0.025570123697747558,RMSE,6.0
110,1,0,right_back,transformer,type-transformer_mu_sigma-True,0.025305114938707945,MPJPE,6.0
111,1,0,right_back,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,6.0
112,1,0,right_back,transformer,type-transformer_mu_sigma-True,0.04175758339641684,mean_uncertainty,6.0
113,1,0,right_back,transformer,type-transformer_mu_sigma-True,0.0477771753452987,max_uncertainty,6.0
114,1,0,right_back,transformer,type-transformer_mu_sigma-True,1.0,bandexcess_2sigma,6.0
115,1,0,right_back,transformer,type-transformer_mu_sigma-True,0.9761904761904762,coverage_2sigma,6.0
116,1,0,right_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.05226744384838426,RMSE,6.0
117,1,0,right_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.05180996815864721,MPJPE,6.0
118,1,0,right_back,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,6.0
119,1,0,right_back,linear_interp,linear_interp,0.04123987122643652,RMSE,6.0
120,1,0,right_back,linear_interp,linear_interp,0.039173364660641814,MPJPE,6.0
121,1,0,right_back,linear_interp,linear_interp,1.0,PCK@0.01,6.0
122,1,1,right_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.06750419184760942,RMSE,8.0
