method_param,PCK@0.01,RMSE,MPJPE,repeat,dataset
linear_interp,0.9918001626428454,0.056763137458358336,0.04914730846141921,0,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9998914106541996,0.022976920923863327,0.020038051856571377,0,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9999019942771918,0.023131699268991758,0.020378416876281096,0,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9995966782390399,0.049057089604737036,0.045356932852828054,0,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.9998766212202503,0.04962922433785709,0.04684702061777345,0,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9997716502619043,0.0370028946734459,0.03240610012570357,0,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9999040240050397,0.021424409799352166,0.01848590244989662,0,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9999023980295864,0.02126404977136942,0.018378140740635988,0,Fish_v3_60stride60
linear_interp,0.991578928792329,0.056883084059181695,0.0492898751722657,1,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9998273708359422,0.022948876422791496,0.01999783146700079,1,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9998412070807166,0.022899951366799308,0.020155675864976956,1,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9995667325158358,0.04911248471402432,0.04542433489562624,1,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.9998094166493032,0.04914640378053846,0.04636380828289124,1,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9997563070138782,0.036968722412985246,0.03235634924462495,1,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9998031948663595,0.021232858892124607,0.018323498254707433,1,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9998416302264975,0.021125969702401107,0.018259332553205502,1,Fish_v3_60stride60
linear_interp,0.9917371899504314,0.056646521033437584,0.04904352764341628,2,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9998293400531083,0.02292423990086441,0.019986354914003367,2,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9998563336208411,0.022973432215006775,0.020259465578624354,2,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.999614221849798,0.04900383897383695,0.0452897080571414,2,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.9997908649230313,0.04910462356088818,0.04637048593743012,2,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9996927224458568,0.036798247897136246,0.03223919893344921,2,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.999813531187894,0.021229302697479836,0.018318274387224866,2,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9998378107681961,0.02115045365874962,0.018283795862672713,2,Fish_v3_60stride60
linear_interp,0.9911413933788915,0.05740919587788899,0.049797036404025614,3,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9998122983733847,0.022983050109643414,0.020029068794999043,3,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9998434676401249,0.02305880901014876,0.02030999115090856,3,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9996830191170393,0.04909871456872923,0.045396349552674686,3,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.9998022336964358,0.04936359267158219,0.04655117030427016,3,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9997576694797338,0.03702713606580791,0.03241511317038936,3,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9997863093179599,0.02137881900251756,0.018421826160962003,3,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9998542166806139,0.021204352152641524,0.018322158215975153,3,Fish_v3_60stride60
linear_interp,0.9919030323739818,0.057502174802803244,0.04981570586182344,4,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9997397202321767,0.023188729486306518,0.020204656790362735,4,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9997816874969008,0.023252745553094662,0.020484024293747547,4,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9995182884492942,0.04948253433900832,0.04573485858550507,4,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.9997815918442473,0.04939417912082305,0.04657460729626616,4,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9996342273553214,0.03730060162389835,0.03266146036923154,4,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9997452592615518,0.021576586991546166,0.018575301176984468,4,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9997831651683006,0.021385030347169865,0.01846988503298007,4,Fish_v3_60stride60
