method_param,PCK@0.01,RMSE,MPJPE,repeat,dataset
linear_interp,0.878056165186693,0.26307247199113615,0.2264046232439727,0,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9922255621558188,0.10721745555927979,0.09229081177935537,0,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9925702874553106,0.10895697955059416,0.09520690165681663,0,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9243561084755741,0.24509193691148487,0.22576979122669255,0,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.860737630952946,0.2809322071289884,0.26592335876953554,0,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9685428433768155,0.17384419281790517,0.1511995746420855,0,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9927585225915889,0.09869454111301221,0.08391309979220511,0,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9928729204592158,0.09843419928932186,0.08394350569185705,0,Fish_v3_60stride60
linear_interp,0.8786536811925765,0.2655216246141138,0.22756219256987348,1,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9919955684698263,0.10889724061223395,0.09246492259072982,1,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9924964318457709,0.11057494501322492,0.09538201349535318,1,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9268539968270891,0.24516195751608388,0.2248154574063323,1,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.8616470209584985,0.28278272997012754,0.26626477953818994,1,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9692970777933992,0.17450173404767588,0.1505810477489739,1,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9927714678797972,0.1003976433628243,0.08406652389818219,1,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9928456940537591,0.0998642641984721,0.08385610996743299,1,Fish_v3_60stride60
linear_interp,0.8771053898922204,0.2623696143291423,0.2249246131899895,2,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.991493212615102,0.10966384266755946,0.09300896484642224,2,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9921585641820649,0.11121610323305813,0.0958413351582097,2,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9236943319868973,0.2466243833644828,0.2260167081174401,2,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.8604201035031142,0.2834450112819348,0.2667686847686887,2,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9680272980456557,0.17542565312941122,0.15111269841430705,2,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9922436931742142,0.10056599870163963,0.08417210858638917,2,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9924231971821961,0.10035769640984622,0.08425217270761973,2,Fish_v3_60stride60
linear_interp,0.878230130633711,0.2648545563786147,0.22634041835768995,3,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9918688421581565,0.11042863779052842,0.09303828780682047,3,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9920157063623164,0.11228388187869949,0.09601211525187107,3,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9229935395242809,0.24789692360353766,0.2264804608913905,3,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.8603478518571238,0.2843808653805584,0.26709238770215227,3,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9679490310240872,0.17727942741378322,0.15204041977449032,3,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9924338461153553,0.10171293817336452,0.08456732176620352,3,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9924235317346424,0.10141658200058572,0.08454483764285572,3,Fish_v3_60stride60
linear_interp,0.8782893525666584,0.2657084023824175,0.22742184764836057,4,Fish_v3_60stride60
type-GRU_mu_sigma-False,0.9921522884508375,0.10946344113495395,0.0925993356135934,4,Fish_v3_60stride60
type-GRU_mu_sigma-True,0.9919609102114042,0.11124326246481321,0.09555012529953584,4,Fish_v3_60stride60
type-STS_GCN_mu_sigma-False,0.9247985777354331,0.24573297380881873,0.22487633439008484,4,Fish_v3_60stride60
type-ST_GCN_mu_sigma-False,0.8617504882857057,0.2829278500186776,0.2660040266791661,4,Fish_v3_60stride60
type-TCN_mu_sigma-False,0.9674901129242865,0.176392979434384,0.15152788576691154,4,Fish_v3_60stride60
type-transformer_mu_sigma-False,0.9926705566507847,0.10088980423215077,0.084217979278227,4,Fish_v3_60stride60
type-transformer_mu_sigma-True,0.9928923555095233,0.1002375313888812,0.08392817569728615,4,Fish_v3_60stride60
