method_param,PCK@0.01,RMSE,MPJPE,repeat,dataset
linear_interp,0.8358797658884656,0.23574304585464498,0.20531667778147128,0,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,0.9999786898521076,0.02465124302394607,0.022408100037683263,0,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,0.9999786898521076,0.031812107481035995,0.029660618127795406,0,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.9997475186691037,0.037783025412394325,0.03325371164425471,0,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.9999786898521076,0.03943645482546445,0.036563730596708074,0,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.9982445501470382,0.05616912330289564,0.04894635154210305,0,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.9999445342143706,0.021893397596735115,0.01960823157708591,0,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,1.0,0.017562447796319436,0.015533391098618317,0,Mocap_keypoints_60_stride30
linear_interp,0.8354163459660771,0.235999831375701,0.20526787404131125,1,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,1.0,0.02556590143372461,0.02311252789914039,1,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,0.9999755160002938,0.03269978332071969,0.03042471207494488,1,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.999913271349249,0.038511907917913035,0.034127250326979545,1,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.9999515420839148,0.04041347328327964,0.037477604776627524,1,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.9971061473536311,0.05830238075108968,0.05042145824884475,1,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.9999755160002938,0.022828697538692468,0.0204054821239026,1,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,1.0,0.01815949410355913,0.016091667932463426,1,Mocap_keypoints_60_stride30
linear_interp,0.8569462169483782,0.22066541638543824,0.19141322898379518,2,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,1.0,0.025060299133880817,0.02271505670254401,2,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,1.0,0.03224877003325158,0.03008361840130248,2,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.9998640481270542,0.03830933629929755,0.034118048027109306,2,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.9999401125883338,0.03988236250044263,0.037067879857728595,2,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.9973377241309941,0.05934713478519189,0.05087977165680334,2,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.9999651288489033,0.02191924122167692,0.019558610931952245,2,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,1.0,0.01751707014317795,0.015556089164064873,2,Mocap_keypoints_60_stride30
linear_interp,0.8459508480598406,0.22594974449056032,0.19496114147417398,3,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,1.0,0.024584896638511478,0.022337881618247107,3,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,1.0,0.031617391547973155,0.02942576528415368,3,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.9997048095185569,0.037961094672790865,0.03366153909754069,3,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,1.0,0.03952178747636626,0.03666385598588976,3,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.9980294673070231,0.05677870926704883,0.04898244212492969,3,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.9998749186971532,0.021670872208053055,0.01931940142216341,3,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,1.0,0.01707098004322256,0.015076658387713575,3,Mocap_keypoints_60_stride30
linear_interp,0.8576900334610574,0.22121022990249617,0.19083037531456765,4,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,0.9999732384189258,0.024900359817907572,0.022505806814965338,4,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,1.0,0.03226097601569989,0.0299723303699201,4,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.9998009575262136,0.03929051988353053,0.034648031933982526,4,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,1.0,0.04002449426398263,0.03706310607153351,4,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.9979938635636383,0.057685806778685504,0.05002831985264803,4,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.9999464768378515,0.02214968294551952,0.01962020713230212,4,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,1.0,0.017876326033210252,0.015722955926354337,4,Mocap_keypoints_60_stride30
