method_param,PCK@0.01,RMSE,MPJPE,repeat,dataset
linear_interp,0.15966831605738296,4.624777054456042,4.027535762170456,0,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,0.6221257080558333,0.44988201537967804,0.41015755412845495,0,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,0.38978667408903417,0.5881756541522549,0.5514639580852589,0,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.4470841807749202,0.6982916875785873,0.6150237530129578,0,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.2864925603989887,0.7242908101358153,0.6719519582485903,0,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.20499106030941153,1.0385343449821014,0.9043389251962545,0,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.7220024970706166,0.3858718665535269,0.3452487127508289,0,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,0.8023408935992649,0.31480305839749345,0.2801813848973213,0,Mocap_keypoints_60_stride30
linear_interp,0.15654391258035033,4.382404013272852,3.7784185058487187,1,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,0.609582610449314,0.45020290561716747,0.4100188785544699,1,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,0.3986227863879183,0.5908955790577695,0.5507025159767853,1,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.44417547422794057,0.6704600847308895,0.5910021600610408,1,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.2806366969028842,0.7182953209139427,0.6646241608639947,1,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.20608896184775924,1.0299239438545138,0.8895370271271379,1,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.6985141770851552,0.3968421209493997,0.35499121966689984,1,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,0.7903172311529222,0.31750934585274726,0.2819910815635233,1,Mocap_keypoints_60_stride30
linear_interp,0.15976443718819805,4.467366422945748,3.8870977897366004,2,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,0.6036775657680757,0.4741023949884955,0.43092393271816476,2,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,0.39997571131457516,0.6063002448102297,0.564060337784732,2,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.43872713633579163,0.7354794806715612,0.6480430785890172,2,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.2740564854074602,0.7538671699793078,0.6966968241727765,2,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.20229615640771256,1.0691861824440403,0.92200086046868,2,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.6873900372158908,0.4125194403891153,0.36853741348212854,2,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,0.7721114950964524,0.33843892981220924,0.2980896427960471,2,Mocap_keypoints_60_stride30
linear_interp,0.1552190831210884,4.406465391983583,3.829399394690923,3,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,0.6095469438589964,0.46236353424204374,0.4199831585627686,3,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,0.39855568305468675,0.595323718110148,0.554737163929807,3,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.446874594243795,0.6974677914856058,0.6153192034538405,3,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.27898618600464253,0.7336299817047282,0.6796048861550185,3,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.21336987303006458,1.0380372744579114,0.8978964069177964,3,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.702437253956489,0.39268576424802404,0.35147861960719295,3,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,0.8038499975244918,0.3130313234091388,0.27731452973307286,3,Mocap_keypoints_60_stride30
linear_interp,0.15929237578714345,4.335042247296432,3.7752181367765254,4,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-False,0.6218882794077197,0.4567361558430849,0.41487010146263376,4,Mocap_keypoints_60_stride30
type-GRU_mu_sigma-True,0.39914537929977195,0.5962403473326546,0.5561051892763953,4,Mocap_keypoints_60_stride30
type-STS_GCN_mu_sigma-False,0.43487754924315136,0.706412801106112,0.6271868925850427,4,Mocap_keypoints_60_stride30
type-ST_GCN_mu_sigma-False,0.28634753574848343,0.7297563947900669,0.6746036248351228,4,Mocap_keypoints_60_stride30
type-TCN_mu_sigma-False,0.20692164078918113,1.0575347132254498,0.9137175065078842,4,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-False,0.7027543937638857,0.40633871616308054,0.36213837055082476,4,Mocap_keypoints_60_stride30
type-transformer_mu_sigma-True,0.7917734255931924,0.32830158571844303,0.29115889877996814,4,Mocap_keypoints_60_stride30
