index,id_sample,id_hole,keypoint,method,method_param,RMSE,MPJPE,PCK@0.01,mean_uncertainty,length_hole
0,0,0,arm1_1,GRU,type-GRU_mu_sigma-True,0.49937167701054475,0.49017822165310854,0.09523809523809523,,21.0
1,0,0,arm1_1,GRU,type-GRU_mu_sigma-False,0.18054694245963523,0.1749466498495492,1.0,,21.0
2,0,0,arm1_1,transformer,type-transformer_mu_sigma-False,0.14175321824717468,0.13652470437566627,1.0,,21.0
3,0,0,arm1_1,transformer,type-transformer_mu_sigma-True,0.1388232524220123,0.1287045775242745,1.0,,21.0
4,0,0,arm1_1,transformer,type-transformer_mu_sigma-True,0.1388232524220123,0.1287045775242745,1.0,,21.0
5,0,0,arm1_1,STS_GCN,type-STS_GCN_mu_sigma-False,0.31459303162675795,0.3027871571103353,0.8571428571428571,,21.0
6,0,0,arm1_1,TCN,type-TCN_mu_sigma-False,0.7750549288484646,0.7019840290490394,0.14285714285714285,,21.0
7,0,0,arm1_1,ST_GCN,type-ST_GCN_mu_sigma-False,0.42533758168587826,0.4214514763449814,0.38095238095238093,,21.0
8,0,0,arm1_1,linear_interp,linear_interp,4.56046679892078,4.232322826745125,0.0,,21.0
9,0,1,arm2_1,GRU,type-GRU_mu_sigma-True,0.5456182992158473,0.5402876739585981,0.0,,32.0
10,0,1,arm2_1,GRU,type-GRU_mu_sigma-False,0.31102046578724873,0.2831187121109683,0.6875,,32.0
11,0,1,arm2_1,transformer,type-transformer_mu_sigma-False,0.1801716187985008,0.1475261193746752,0.96875,,32.0
12,0,1,arm2_1,transformer,type-transformer_mu_sigma-True,0.1462100371260025,0.1422059302201898,1.0,,32.0
13,0,1,arm2_1,transformer,type-transformer_mu_sigma-True,0.1462100371260025,0.1422059302201898,1.0,,32.0
14,0,1,arm2_1,STS_GCN,type-STS_GCN_mu_sigma-False,0.37929598438375456,0.32765112809093777,0.6875,,32.0
15,0,1,arm2_1,TCN,type-TCN_mu_sigma-False,0.5040739635580817,0.45565117675829936,0.46875,,32.0
16,0,1,arm2_1,ST_GCN,type-ST_GCN_mu_sigma-False,0.787794919281694,0.7390524028023375,0.0,,32.0
17,0,1,arm2_1,linear_interp,linear_interp,4.274826471415299,3.8654242997079016,0.03125,,32.0
18,0,-1,all,linear_interp,linear_interp,4.390228277573783,4.010799187779254,0.018867924528301886,,53.0
19,0,-1,all,GRU,type-GRU_mu_sigma-True,0.5277791136354585,0.5204329853092532,0.03773584905660377,0.050591018488076234,53.0
20,0,-1,all,GRU,type-GRU_mu_sigma-False,0.26706018442229523,0.2402580836677645,0.8113207547169812,,53.0
21,0,-1,all,transformer,type-transformer_mu_sigma-False,0.16601610876642828,0.1431670681486528,0.9811320754716981,,53.0
22,0,-1,all,transformer,type-transformer_mu_sigma-True,0.14332874221476485,0.136856337642563,1.0,0.015807241763708728,53.0
23,0,-1,all,transformer,type-transformer_mu_sigma-True,0.14332874221476485,0.136856337642563,1.0,0.015807241763708728,53.0
24,0,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.35507210235464254,0.31779936600428393,0.7547169811320755,,53.0
25,0,-1,all,TCN,type-TCN_mu_sigma-False,0.6256439843174302,0.5532547597414228,0.33962264150943394,,53.0
26,0,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.6681291811222522,0.6132105262814984,0.1509433962264151,,53.0
27,1,0,leg1_2,GRU,type-GRU_mu_sigma-True,0.7522580051679462,0.6993699729251904,0.16666666666666666,,18.0
28,1,0,leg1_2,GRU,type-GRU_mu_sigma-False,0.587718559509621,0.5340894823070299,0.2777777777777778,,18.0
29,1,0,leg1_2,transformer,type-transformer_mu_sigma-False,0.5040797299774817,0.4734489032870738,0.3888888888888889,,18.0
30,1,0,leg1_2,transformer,type-transformer_mu_sigma-True,0.49532005850231264,0.4585993111592425,0.5,,18.0
31,1,0,leg1_2,transformer,type-transformer_mu_sigma-True,0.49532005850231264,0.4585993111592425,0.5,,18.0
32,1,0,leg1_2,STS_GCN,type-STS_GCN_mu_sigma-False,1.391739049610306,1.196842463389648,0.0,,18.0
33,1,0,leg1_2,TCN,type-TCN_mu_sigma-False,0.9897516230535002,0.8208417000134135,0.2777777777777778,,18.0
34,1,0,leg1_2,ST_GCN,type-ST_GCN_mu_sigma-False,1.1937438682722674,1.1237469123779227,0.0,,18.0
35,1,0,leg1_2,linear_interp,linear_interp,2.980902922960383,2.5956486476492433,0.05555555555555555,,18.0
36,1,1,leg1_3,GRU,type-GRU_mu_sigma-True,0.5365942376120905,0.4963571429574678,0.45714285714285713,,35.0
37,1,1,leg1_3,GRU,type-GRU_mu_sigma-False,0.4584249929053899,0.42959074514898954,0.4857142857142857,,35.0
38,1,1,leg1_3,transformer,type-transformer_mu_sigma-False,0.5515933291267763,0.5183567191011225,0.2857142857142857,,35.0
39,1,1,leg1_3,transformer,type-transformer_mu_sigma-True,0.507705919819131,0.4627656740502756,0.42857142857142855,,35.0
40,1,1,leg1_3,transformer,type-transformer_mu_sigma-True,0.507705919819131,0.4627656740502756,0.42857142857142855,,35.0
41,1,1,leg1_3,STS_GCN,type-STS_GCN_mu_sigma-False,1.4426729202793453,1.3320381217426522,0.02857142857142857,,35.0
42,1,1,leg1_3,TCN,type-TCN_mu_sigma-False,1.1941184584764262,1.0501335573761275,0.02857142857142857,,35.0
43,1,1,leg1_3,ST_GCN,type-ST_GCN_mu_sigma-False,0.9064643928595373,0.8774024426551043,0.02857142857142857,,35.0
44,1,1,leg1_3,linear_interp,linear_interp,4.014678821840996,3.555737021481702,0.02857142857142857,,35.0
45,1,-1,all,linear_interp,linear_interp,3.696152236253822,3.2296692718782256,0.03773584905660377,,53.0
46,1,-1,all,GRU,type-GRU_mu_sigma-True,0.6183319934483228,0.5653048965314114,0.3584905660377358,0.08247490658456852,53.0
47,1,-1,all,GRU,type-GRU_mu_sigma-False,0.5060540557237818,0.4650808822970031,0.41509433962264153,,53.0
48,1,-1,all,transformer,type-transformer_mu_sigma-False,0.5359292188011624,0.5031050080699361,0.32075471698113206,,53.0
49,1,-1,all,transformer,type-transformer_mu_sigma-True,0.5035335671496867,0.461350682879736,0.4528301886792453,0.0503740130123156,53.0
50,1,-1,all,transformer,type-transformer_mu_sigma-True,0.5035335671496867,0.461350682879736,0.4528301886792453,0.0503740130123156,53.0
51,1,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,1.4255787100401112,1.2861226151321983,0.018867924528301886,,53.0
52,1,-1,all,TCN,type-TCN_mu_sigma-False,1.1288674421793141,0.9722608511019981,0.11320754716981132,,53.0
53,1,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,1.0132067433979461,0.9610666021836086,0.018867924528301886,,53.0
54,2,0,leg2_1,GRU,type-GRU_mu_sigma-True,0.9683285925861601,0.9158934035470624,0.0,,36.0
55,2,0,leg2_1,GRU,type-GRU_mu_sigma-False,0.797792434680001,0.7497202803391502,0.027777777777777776,,36.0
56,2,0,leg2_1,transformer,type-transformer_mu_sigma-False,0.750872412816299,0.7100757022908001,0.08333333333333333,,36.0
57,2,0,leg2_1,transformer,type-transformer_mu_sigma-True,0.3930826914066567,0.3518291737094604,0.7777777777777778,,36.0
58,2,0,leg2_1,transformer,type-transformer_mu_sigma-True,0.3930826914066567,0.3518291737094604,0.7777777777777778,,36.0
59,2,0,leg2_1,STS_GCN,type-STS_GCN_mu_sigma-False,1.58305295660305,1.4104051899228076,0.027777777777777776,,36.0
60,2,0,leg2_1,TCN,type-TCN_mu_sigma-False,1.1047503159067535,0.9504513190790654,0.05555555555555555,,36.0
61,2,0,leg2_1,ST_GCN,type-ST_GCN_mu_sigma-False,1.1732988300850011,1.0160213871513861,0.027777777777777776,,36.0
62,2,0,leg2_1,linear_interp,linear_interp,5.497796695069151,5.172315849567675,0.027777777777777776,,36.0
63,2,-1,all,linear_interp,linear_interp,5.497796695069151,5.172315849567675,0.027777777777777776,,36.0
