metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,0.03252633805509467,0,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,0.036025129065494724,0,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.047821050741479354,0,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,0.03800364453570174,0,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,0.047383754823838845,0,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,0.12338818859874473,0,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,0.02804110676737329,0,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,0.027103381910326445,0,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,1.0,0,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,1.0,0,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,0,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,0,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,1.0,0,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,1.0,0,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,1.0,0,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,1.0,0,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,0.03709330423712556,0,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,0.04052207386578186,0,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,0.05964675519762544,0,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,0.04316828870087371,0,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,0.055107595309500094,0,MABE_task1_60stride60
RMSE,linear_interp,linear_interp,0.1443745627879972,0,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-False,0.03258480741606792,0,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-True,0.03154334810547201,0,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-False,0.031910496676521065,1,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,0.03480678425874114,1,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.046203355244183945,1,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,0.03730204055997219,1,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,0.047065687115645245,1,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,0.11616784801771997,1,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,0.027765836258002975,1,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,0.026314559511790334,1,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,1.0,1,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,1.0,1,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,1,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,1,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,1.0,1,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,1.0,1,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,1.0,1,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,1.0,1,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,0.03624146673244845,1,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,0.039174796970713695,1,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,0.054476693971547446,1,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,0.04203778650964085,1,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,0.054077603184508216,1,MABE_task1_60stride60
