index,id_sample,id_hole,keypoint,method,method_param,metric_value,metric_type,length_hole
0,0,0,kp1_animal1,TCN,type-TCN_mu_sigma-False,0.02329423542797883,RMSE,32.0
1,0,0,kp1_animal1,TCN,type-TCN_mu_sigma-False,0.02007123437431276,MPJPE,32.0
2,0,0,kp1_animal1,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,32.0
3,0,0,kp1_animal1,STS_GCN,type-STS_GCN_mu_sigma-False,0.0313848970458215,RMSE,32.0
4,0,0,kp1_animal1,STS_GCN,type-STS_GCN_mu_sigma-False,0.02969907857891429,MPJPE,32.0
5,0,0,kp1_animal1,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,32.0
6,0,0,kp1_animal1,ST_GCN,type-ST_GCN_mu_sigma-False,0.010787034136875375,RMSE,32.0
7,0,0,kp1_animal1,ST_GCN,type-ST_GCN_mu_sigma-False,0.009264182353707682,MPJPE,32.0
8,0,0,kp1_animal1,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,32.0
9,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.012222651793585714,RMSE,32.0
10,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.011528203248515464,MPJPE,32.0
11,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,32.0
12,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.019101738929748535,mean_uncertainty,32.0
13,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.021305084228515625,max_uncertainty,32.0
14,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,1.0,bandexcess_2sigma,32.0
15,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,1.0,coverage_2sigma,32.0
16,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.009615251808083543,RMSE,32.0
17,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.008337903616581571,MPJPE,32.0
18,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,32.0
19,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.027626752839089583,mean_uncertainty,32.0
20,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.0319671630859375,max_uncertainty,32.0
21,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,1.0,bandexcess_2sigma,32.0
22,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,1.0,coverage_2sigma,32.0
23,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-False,0.01219444674199749,RMSE,32.0
24,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-False,0.011226379013042027,MPJPE,32.0
25,0,0,kp1_animal1,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,32.0
26,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-False,0.010942406055710483,RMSE,32.0
27,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-False,0.009751877362815776,MPJPE,32.0
28,0,0,kp1_animal1,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,32.0
29,0,0,kp1_animal1,linear_interp,linear_interp,0.05856705918663142,RMSE,32.0
30,0,0,kp1_animal1,linear_interp,linear_interp,0.05411513822406047,MPJPE,32.0
31,0,0,kp1_animal1,linear_interp,linear_interp,1.0,PCK@0.01,32.0
32,0,-1,all,linear_interp,linear_interp,1.0,PCK@0.01,32.0
33,0,-1,all,linear_interp,linear_interp,0.054115138224060465,MPJPE,32.0
34,0,-1,all,linear_interp,linear_interp,0.05856705918663142,RMSE,32.0
35,0,-1,all,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,32.0
36,0,-1,all,TCN,type-TCN_mu_sigma-False,0.020071234374312758,MPJPE,32.0
37,0,-1,all,TCN,type-TCN_mu_sigma-False,0.02329423542797883,RMSE,32.0
38,0,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,32.0
39,0,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.029699078578914292,MPJPE,32.0
40,0,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.0313848970458215,RMSE,32.0
41,0,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,32.0
42,0,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.009264182353707682,MPJPE,32.0
43,0,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.010787034136875375,RMSE,32.0
44,0,-1,all,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,32.0
45,0,-1,all,transformer,type-transformer_mu_sigma-True,0.011528203248515464,MPJPE,32.0
46,0,-1,all,transformer,type-transformer_mu_sigma-True,0.012222651793585714,RMSE,32.0
47,0,-1,all,transformer,type-transformer_mu_sigma-True,0.019101738929748535,mean_uncertainty,32.0
48,0,-1,all,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,32.0
49,0,-1,all,GRU,type-GRU_mu_sigma-True,0.008337903616581571,MPJPE,32.0
50,0,-1,all,GRU,type-GRU_mu_sigma-True,0.009615251808083543,RMSE,32.0
51,0,-1,all,GRU,type-GRU_mu_sigma-True,0.027626752839089583,mean_uncertainty,32.0
52,0,-1,all,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,32.0
53,0,-1,all,GRU,type-GRU_mu_sigma-False,0.01122637901304203,MPJPE,32.0
54,0,-1,all,GRU,type-GRU_mu_sigma-False,0.01219444674199749,RMSE,32.0
55,0,-1,all,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,32.0
56,0,-1,all,transformer,type-transformer_mu_sigma-False,0.009751877362815776,MPJPE,32.0
57,0,-1,all,transformer,type-transformer_mu_sigma-False,0.010942406055710483,RMSE,32.0
