method,method_param,RMSE,repeat,dataset
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.029691507540511634,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.031449976197268324,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.02999293785695244,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.032234653071683536,0,Fish_v3_60stride60
linear_interp,linear_interp,0.08206810494869048,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.02729393453169979,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.02959905077408085,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.027251675744419907,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.02933539025654375,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.029836753857962292,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.03142406160984496,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.030085447207449694,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.03237724277381829,1,Fish_v3_60stride60
linear_interp,linear_interp,0.08257110488793426,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.02743205816736398,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.029642728232214997,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.027372032953611545,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.02939604589585293,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.029720209316337967,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.031390081669856545,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.0301174018990884,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.032292663056704536,2,Fish_v3_60stride60
linear_interp,linear_interp,0.08291049828952954,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.027348016508279876,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.029590859526292018,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.027268298890296805,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.0293324560975302,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.029954216282505542,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.031608365224742,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.03031644931575165,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.03243065523960083,3,Fish_v3_60stride60
linear_interp,linear_interp,0.08286461905196896,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.027545140761053303,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.02984191977090987,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.027458435395387153,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.02946059978245359,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.02975033551442648,4,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.03139278347791047,4,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.030195905857105007,4,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.03225030800957341,4,Fish_v3_60stride60
linear_interp,linear_interp,0.08234624863152305,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.027400061484602375,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish1,0.029595346033006273,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.02734307793036918,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish1,0.029255287524195536,4,Fish_v3_60stride60
